Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Reference Designator,Packaging,Part Status,Quantity,Unit Price,Extended Price,Quantity Available,Mfg Std Lead Time,Description,RoHS Status,Lead Free Status,REACH Status
1444-1763,Hammond Manufacturing,HM2784-ND,,,Bulk,Active,1,32.06,$32.06 ,11,4 Weeks,"CHASSIS ALUM NATURAL 6""L X 17""W",ROHS3 Compliant,Lead free,REACH Unaffected
GRS-4011-0076,CW Industries,SW323-ND,,,Bulk,Active,1,1.03,$1.03 ,10105,12 Weeks,SWITCH ROCKER SPST 16A 125V,ROHS3 Compliant,Lead free,Not Available
190700007,Molex,WM18272-ND,,,Bulk,Active,10,0.199,$1.99 ,7894,3 Weeks,CONN RING CIRC 18-22AWG #4 CRIMP,ROHS3 Compliant,Lead free,REACH Unaffected
AWG28-10/G/300,Assmann WSW Components,AE10G-10-ND,,,Bulk,Active,1,5.27,$5.27 ,28,Not Available,CBL RIBN 10COND 0.050 GRAY 10',ROHS3 Compliant,Lead free,REACH Unaffected
AWP 10-7240-T,Assmann WSW Components,HHKC10H-ND,,,Tray,Active,25,0.4052,$10.13 ,35059,23 Weeks,CONN SOCKET 10POS IDC GOLD,ROHS3 Compliant,Lead free,REACH Unaffected
AWH 10A-0232-T,Assmann WSW Components,AE11069-ND,,,Tray,Active,20,1.357,$27.14 ,521,23 Weeks,CONN HEADER R/A 10POS 2.54MM,ROHS3 Compliant,Lead free,REACH Unaffected
2756,Adafruit Industries LLC,1528-2385-ND,,,Bulk,Active,1,24.94,$24.94 ,347,Not Available,TEENSY 3.2 K20 EVAL BRD,RoHS non-compliant,Not Available,Not Available
22142144,Molex,WM20972-ND,,,Tray,Active,2,1.84,$3.68 ,1743,18 Weeks,CONN RCPT 14POS 0.1 TIN PCB,ROHS3 Compliant,Lead free,REACH Unaffected
MC7805CTG,ON Semiconductor,MC7805CTGOS-ND,,,Tube,Active,1,0.46,$0.46 ,22618,15 Weeks,IC REG LINEAR 5V 1A TO220AB,ROHS3 Compliant,Lead free,REACH Unaffected
577002B00000G,"Aavid, Thermal Division of Boyd Corporation",HS105-ND,,,Bag,Active,1,0.26,$0.26 ,12087,7 Weeks,"HEAT SINK TO-220 .250"" COMPACT",RoHS Compliant,Lead free,Not Available
CC1812KKX7R9BB334,Yageo,311-3574-1-ND,,,Cut Tape (CT),Active,1,0.66,$0.66 ,3990,33 Weeks,CAP CER 0.33UF 50V X7R 1812,ROHS3 Compliant,Lead free,REACH Unaffected
